date,name,review
22 November 2021,J M, This app is a major part of my life.
22 November 2021,Edwin Henriquez," School app, works great, 0 issues. Always ready to go."
22 November 2021,Zemira Bowdler, Helps me with school when I can't be there to do my work.
22 November 2021,Chukwuemeka Okere, 👌
22 November 2021,Amanda W, This app has been such an easy and convenient way to keep up with my day to day school events! The widgets are awesome as well!
21 November 2021,Angelique Contreras, Great.
21 November 2021,Kurbonaliev Shamsiddin, Good
21 November 2021,Bisiriyu Ayodeji, This is best dashboard and it's very easy to use
21 November 2021,mohamed barbari, Nice
20 November 2021,Linda Dlamini, It's perfect and it has no ads.
20 November 2021,Brenda Castillo, Pretty good so far so I can't complain
20 November 2021,E Jyue, grateful
20 November 2021,Regin M FINLEY, Best App I'VE Ever Used in ALL MY COLLEGE EDUCATION. VERY NICE
19 November 2021,Kasey C," For a school app, it's surprisingly good."
19 November 2021,Lianne Abrahams," Canvas is great, I can see all of the content for each of my classes, start discussions and post comments. I can view all of my lectures on laptop or mobile any time I want. Canvas also helps to organise my calendar and deadlines, with optional email notifications for course reminders, and notificatFull ReviewCanvas is great, I can see all of the content for each of my classes, start discussions and post comments. I can view all of my lectures on laptop or mobile any time I want. Canvas also helps to organise my calendar and deadlines, with optional email notifications for course reminders, and notifications when new content is added. One new feature I would love to see in Canvas is videos that resume at the last point watched."
19 November 2021,Marshall Jele," Its a great app, didn't give me hard time."
19 November 2021,Tomas Claudio, Very good
19 November 2021,Jenny Lamert, I love learning and this app has exactly what is needed to further my education and enhance it as well.
19 November 2021,Oluwakemi Olowosegun, I'm finding it hard to download the app
19 November 2021,Cami Sumpter, This helps with work
19 November 2021,Holly Borgholthaus, This app helps me a lot with my studies- if I'm not at home I can listen to or read my assignments.
18 November 2021,Heron Splinter," This app is really friendly-feeling! It has great animations and it is pretty easy to navigate and understand. It handles attachments and files extremely well. I've never had an abiguous moment regarding submissions. It makes it quite clear how week the upload is and if it fails. One request: ViewinFull ReviewThis app is really friendly-feeling! It has great animations and it is pretty easy to navigate and understand. It handles attachments and files extremely well. I've never had an abiguous moment regarding submissions. It makes it quite clear how week the upload is and if it fails. One request: Viewing attached files in discussion posts is confusing. It's not clear where to tap to access them. Then, the download progress of the file is hidden."
18 November 2021,Diana Davis, I like it
18 November 2021,XFCONNECT ACCOUNT TEAM!, Great app!!!
18 November 2021,Teresa Raschilla, So helpful to have Canvas on my phone
18 November 2021,Kayla Allen," Great App, Easy to Use"
18 November 2021,Zane TheBoss, Pretty good since I get As in everything so overall 5 out of 5
18 November 2021,Antonio Clark, Leaning
17 November 2021,Asenuga Temilade, Very nice app
17 November 2021,Bonaventure Mbamalu, Awesome
17 November 2021,kibirango allan, I love the simplicity.
17 November 2021,TSIZZLE3, Awesome
17 November 2021,"George Daniels, Jr.", This app is very easy to access. Pretty simple and definitely able to keep in contact with your Professors.
17 November 2021,Kastagan 151, Couldn't be easier!
17 November 2021,Heet Sheth, Very good and all in one experience to use this app.
16 November 2021,Kris V, Good program!
16 November 2021,Amita Gellecanao, It is a great app for students
16 November 2021,Grace Hernandez, yeah
16 November 2021,Grace Vera, Easy and does not crash! Yay!
16 November 2021,Dongjoon Gin, Great
16 November 2021,Salman Siraj Rajput, It's really great.
15 November 2021,Tyler Carson, It is good to see my progress and what I need to keep up on
15 November 2021,Zebonur Muhsinaliyeva, Well perfext
15 November 2021,Gillian Chang," Works well, should add a dark mode."
15 November 2021,Jessie Williams, AMAZ8NG
15 November 2021,Jose Alberto Fernandez, Works great
15 November 2021,Hugo Cruz, Great way to study
15 November 2021,Alena H, Great app for uni
15 November 2021,Walnut Dog, Very great way to view your school work and message your teacher.
15 November 2021,Brittany Petty, Great app
14 November 2021,Ukoha Joshua," Beautiful app, you guys keep up the good work"
14 November 2021,Beauty Fad, Awesome
14 November 2021,Teera Garcia, It works as advertised and it's a really convenient way to get access to my courses when I'm not at my computer.
14 November 2021,Kym Davis, Great app
14 November 2021,EL JR R," So, far so 👍"
13 November 2021,toby snyder, Works great
13 November 2021,Nikki Dee Saunders, Canvas is so easy to navigate! I ❤ it
13 November 2021,Ben Ojukwu, Fantastic
13 November 2021,Crystal Turner, Love this app
13 November 2021,mary Oliver, 👍👍👍
13 November 2021,jordan champion, Awesome
13 November 2021,Mad Link, Good
12 November 2021,Nadia Alejandra Ayala Duran, Muy buena aplicación
12 November 2021,Secret Society, Your life just got easier! Download now!
12 November 2021,Tasha Thornton," I love this app. It shows me everything I need for communions, assignments, and my grades."
12 November 2021,B Mae, Works like it's supposed to.
12 November 2021,Weston Peabody, Love it
11 November 2021,Alexandria," Love that I'm able to look at assignments while I'm at work. I work long hours, so this helps me tap into my work"
11 November 2021,Rachel H.," I use this app for school and it is useful. Next semester, I will be using it for 2 colleges and I am curious about how the app will work with both schools."
11 November 2021,Kelechi Madu Modestus, I love canvas student
10 November 2021,Indraneel Ganguli, Super app as a side kick for main application.very convenient
10 November 2021,C. Henry M, Awesome! Super useful for on the go submissions!
10 November 2021,ulises saldana, All very good!
10 November 2021,Ariel Vasquez-Hernandez," This app has been really useful. I am able to quickly check in with my professors by using the messaging providing in this app. It is easy to set up on my mobile device, tablet, and PC. It is also useful when needing to contact classmates rather having to open up an email account and formatting a meFull ReviewThis app has been really useful. I am able to quickly check in with my professors by using the messaging providing in this app. It is easy to set up on my mobile device, tablet, and PC. It is also useful when needing to contact classmates rather having to open up an email account and formatting a message via email. The app does forward an alert that someone has sent you a message via email. This app has a vast list of schools that you can connect to your schools system. It is really a great app!"
9 November 2021,Dayviana Pratt, It's good
9 November 2021,Kelvin, Well optimized app
9 November 2021,Mani Penumaka, Good. App
9 November 2021,Loren Blue," Easy to navigate and love being able to access assignments, grades and announcements for my courses. Love Canvas app!"
9 November 2021,Dylan Moody, Good
9 November 2021,CJ Taylor, I get to do my homework
9 November 2021,Nikki Brown," Love it makes school work onlune so easy, and in one place! Love all the extra help."
8 November 2021,Chase Hays, Good for school.
8 November 2021,Antonio Atkins, This app is great for keeping updated with my work
8 November 2021,Adeyemi Samuel, Great application for on-line learning.
8 November 2021,MOHIT KUMAR, Osm
8 November 2021,Noah Rezende, Great app. Have no bugs or problems with it whatsoever.
8 November 2021,Nazya Tehwari, I love this app i am using this app good communication app
8 November 2021,jai prakash Upadhyay, is very comfortable for me in study any wear but same time i cant fully work in my phone so i try to install canvas in my Laptop but i can't how i download Canvas App in my Laptop ?
7 November 2021,Nursing Student," Great app. I use it every day, never had any issues and NO ADS! Perfect."
7 November 2021,Polo's channel, It's great
7 November 2021,Dusty T, Easy to navigate! Thank you!
7 November 2021,Jestony Alfonso, This app very useful.
7 November 2021,Williams B, Shofft and nice
7 November 2021,Sardar Shahzaib Akhter, Excellent app
7 November 2021,monika cornejo, So far so good
6 November 2021,Fortunata Nicolas, Awesome
6 November 2021,Elmer Decierdo, its very helpful when doing my apprenticeship. I'm new with but realize working well
6 November 2021,Leonard Bende, Nice apps and very useful
6 November 2021,Sammie Glasheen, Work great but does not let me sign in on another sevices
6 November 2021,Samri Samer, Amazing
5 November 2021,Abagail Radford, Fun
5 November 2021,Jillian Menifee, Great.
5 November 2021,Babygirl Lele, This help me in school
5 November 2021,Mahmood Siddiqui, Very user friendly and stable app
5 November 2021,PANDAS DOPE, Great app easy to operate
5 November 2021,John Bair, Great way to check in on grades and assignments.
4 November 2021,MARIS OZAVIZE ADEDEJI," Very educational / user friendly, navigating is so easy"
4 November 2021,Kyla Tomenio, Hi developers. Students need this app so we expect that it is fixed every time we open it. Canvas shouldn't crash..
4 November 2021,Mauricio Farias, Canvas is pretty easy to use and the best way to keep track of your classes while on the go.
4 November 2021,Daezy Agbakoba, Pretty functional and is easy to navigate. I have no complaints.
4 November 2021,Alexandra Wilson, Useful. Allows for connections with my classes.
4 November 2021,Thomas Ramey," Fast, no ads. Much better than a phone browser."
3 November 2021,Debora Diaz Rivera, It works as good as on my pc
3 November 2021,Samson Badmos, Awesome apk
3 November 2021,MaryAnn Perez, This app is an app I use the school unable to do my school work on my phone which is excellent I have never had a problem with this app so far.
3 November 2021,Jackson Wahome, Good
3 November 2021,FaZe Escanor, Good app
3 November 2021,Mauriblacc Gaming, Work
3 November 2021,AndrésFelipe Rojas Morales, Cavas is an excellent app. Congrats!
2 November 2021,Donald Glodove, I like it
2 November 2021,Parker Franco, Great experience
2 November 2021,Araceli Meza, It's every good love it
2 November 2021,Sunday Segun Moses, The application is working fine
2 November 2021,Jimi Mar, its a very good app! I enjoy doing my college on it!
2 November 2021,Jeff Danieles Agustin, Great App for Teacher and Students
2 November 2021,Calvin Davies, Very organized and easy to use!
2 November 2021,Love Death, Best app for my district
