date,name,review
21 November 2021,Princess Nicole Salita," I suggest you to add something like a highlighter, so that students who cannot print out and copy all of the modules can hilight important things inside for easier reviewing."
18 November 2021,Bryan Seare, Needs bug fixes. Its stability is just not there.
17 November 2021,SophiaDraco," consistently logs me out. my school uses Google to sign in, which would make things convinent, except for the fact that you can't use an account already on your phone. you need to sign in to your Google every time. also the app caches a lot which is :("
16 November 2021,Michael Spiering," Doesn't have very much customization. Doesn't save notification log or assignments so you chew up a lot of data. I would like assignments to show if they are worth more or less parts of my total grade. It's a good tool, but it needs a lot of work."
16 November 2021,Pedro Pacheco," This app is borderline unusable. It is very slow so its just easier to open the browser and log in. Also, unlike the web version, it doesn't let you know when exams or assignments are still ungraded. It shows a 0. Needlessly alarming."
9 November 2021,Susan Young," App stopped working - won't let me log in. I can sign in to the website, but when I downloaded the app to a new device it will not move past the Choose your school name panel."
5 November 2021,"Maruhom, Abdul whalid", The apps is good but Its always have a bug.
4 November 2021,Hafiz Rusli," Some of the language does not supported, instead some kind of weird other languages are mix together to form an unreadable phase or sentence. Now im curious what my teachers just replay to my assignment. Pls fix it okaii?"
2 November 2021,LPS; PawsOn, SLOW IT SUCKS
30 October 2021,Veronika Kaverina, 1. It can't find my school even tho I typed in my schools full name correctly! 2. And I already have this app on my school computer so I don't even need this app on my phone nor iPad.
28 October 2021,David, Should be possible to easily open the desktop version despite having installed the app. The app unfortunately still lacks too many features.
27 October 2021,Bethel Akinyemi," I'm not ablw to login.it was working before, but now it's broken >:("
27 October 2021,Chu Zwei, It has been continuously logging me out of my account and I don't know why please fix this so I could rate you better.
27 October 2021,Drew Mortenson," Consistently forgets my school, wont let me load my school page, fails to load, fails to upload documents, etc. It's actually disturbing to me that colleges use canvas. Im just scared of having to use blackboard, because canvas is bad and people say blackboard is worse."
23 October 2021,Jeru Sanders," I shouldn't get redirected to leave a review when trying to check my grades. I'll be ignoring all ""surveys"" from now on."
23 October 2021,Selena Y., It's easy access if I don't have my laptop. Half of the time the app doesn't match with the website- fix that. For the past week the app would try to load for about 30-50 seconds then exits the app. I checked play store and it says it's up to date (clearly it's not). Point 2- when I look at an assigFull ReviewIt's easy access if I don't have my laptop. Half of the time the app doesn't match with the website- fix that. For the past week the app would try to load for about 30-50 seconds then exits the app. I checked play store and it says it's up to date (clearly it's not). Point 2- when I look at an assignment it doesn't load.
23 October 2021,Xan JG, This app need more updates like you can upload a video for your class. Like the real canvas from internet.
22 October 2021,Ipomoea Draco," Before Canvas, I used to have mostly A's. I only had 1 B grade, and that's it! Now that the classes I need to take are partially or fully reliant on Canvas, my grades are dropping. Student submissions are missing or hidden, and I cannot interact until they replied back! There were no unread replies Full ReviewBefore Canvas, I used to have mostly A's. I only had 1 B grade, and that's it! Now that the classes I need to take are partially or fully reliant on Canvas, my grades are dropping. Student submissions are missing or hidden, and I cannot interact until they replied back! There were no unread replies in the Discussions tab. This buggy mess of a student app is ruining my GPA, thus ruining my chances to transfer to the Art Center in the future."
21 October 2021,Anant Bisht, Has bugs. Shows assignments as an overlay on the menu its opened from.
20 October 2021,Rivkah Asiana Diandra Ramos, daming arte. mag google classroom na lang kayo chz
17 October 2021,Badam Lyanhua," Poor experiences in Online Learning. I couldn't get myself to participate in any group discussions because it lack the feature to do so. I couldn't collaborate, my replies disappear after I type it. Canvas Help Discussions doesn't help either when their only solutions is to do something outside of CFull ReviewPoor experiences in Online Learning. I couldn't get myself to participate in any group discussions because it lack the feature to do so. I couldn't collaborate, my replies disappear after I type it. Canvas Help Discussions doesn't help either when their only solutions is to do something outside of Canvas, when the App can't even provide the handful of services Desktop has. Leaving at 2 stars, until Replies and Assignments are fixed and don't disappear, and add Collaborations, Chat, & edit reply."
17 October 2021,Tracie Opie," The time logging isn't working, a teacher is dropping me for only being on it 2 hours in 7 weeks, I'm on it 2 hours in one day on average. I need to speak to someone"
17 October 2021,removalist1995, Crashes literally every time I try and open any assignments/quizzes
17 October 2021,Amzi Morales, assignment tabs and notifications doesnt work but it works completely fine on the laptop browser ;-;
