date,name,review
22 November 2021,Isabella Smith," Keeps crashing with my schools wifi and puts me in classes I haven't had since 2017. Very glitchy feature, if this app is to be used for schools then why is it so unusable."
21 November 2021,Harry Addison, This app is rubbish it doesn't show the courses I'm enrolled on also it doesn't show all my emails.from my personal tutor or noone of my assignments either do not download
20 November 2021,Kevin Jacobo, Doesn't accept my password even tho I just changed it a few minutes ago and doesn't send the email in the forgot the password feature
20 November 2021,yawa man, Canvas sucks Im bombarded by the same notification and ui still sucks. Please fix damn canvas
20 November 2021,Finn Martinis, I hate canvas
20 November 2021,Coopdawg720, I hate its digital guts
20 November 2021,College students 101," Yeah, if it wasn't because I need this for school I wouldn't be using it, mainly because the bloody calendar hasn't been working for three to four bloody month now"
20 November 2021,Mitchell Gallagher," App is very bad. Bad media controls, takes forever to load when clicking into something or out of something. Will freeze up and then register all button prompts at once and just exit the app"
19 November 2021,Kayla Giles-Yelcich," I do not like that these isn't a notification when exiting an assignment or test will expire in 2 hours and be unavailable after. I have failed 2 tests due to this because I didn't realize I could assess them via the app and somehow I was in the exam. I exited as soon as I realized, but didn't have Full ReviewI do not like that these isn't a notification when exiting an assignment or test will expire in 2 hours and be unavailable after. I have failed 2 tests due to this because I didn't realize I could assess them via the app and somehow I was in the exam. I exited as soon as I realized, but didn't have any notification that if I didn't complete the exam I would not be able to assess again."
19 November 2021,niña," Trash and useless app, the assignment page does not even load. I have to open the browser version just to see the assignments and module."
19 November 2021,Miss Kai, It's good but it really requires really fast internet which is really frustrating. When passing videos it really takes so much time. When it fails it restarts again which makes me angry and frustrated. This app is really pretentious.
18 November 2021,gusherz, Screw this i want my school to go back to Google classroom
18 November 2021,Lili," Takes forever to load, and is a complicated school system."
17 November 2021,Shubham Choudhary, Very very very bad app for student login problem and uploading problems. Worst app of play store till now 🤮🤮🤮🥴🥴🥵🥵❌❌❌
17 November 2021,Chinwe Caroline, I can't view some images and files Poor app
17 November 2021,Jho Enzo, Worst
17 November 2021,chrsxnn, PATULUGIN NIYO NAMAN KAMI
16 November 2021,Khyf3r Ben," This app is really terrible to think that downloading and loading of videos to watch from school takes a long time to function, and specially people are spending a lot of money for more improvements but now I think the creator/s of this app is just sitting and getting fat on money. I hope you die frFull ReviewThis app is really terrible to think that downloading and loading of videos to watch from school takes a long time to function, and specially people are spending a lot of money for more improvements but now I think the creator/s of this app is just sitting and getting fat on money. I hope you die from stroke"
16 November 2021,lemonboi, I hat school
16 November 2021,Thomas Kelly, I use it for school so it's bad
15 November 2021,Mario Zeller, Makes me scared whenever I open this app I get bad grades
15 November 2021,Erick Domingo," It took so much time to load especially when we had our major exam. Also, doesn't notify mo about the updates like my quizzes, announcements, and even in the assignment section. I missed 2 important tasks because of being outdated on the classes that happen in Canvas"
15 November 2021,Jervin Castaneda," I can't even access the lesson because the app is very slow, Downloading it is not possible. If I do not have another device I will be in great trouble."
14 November 2021,Sandhyaba Jadeja, I have facing server problem with this canvas app .
13 November 2021,DarkestRuby," It doesn't let me open files or pictures, it just says ""can't open"""
13 November 2021,Jegan Jai, Listen only not connecting in your website network got slow
13 November 2021,Glorilyn Panela, U can just make it simplier 😒
12 November 2021,Hector Solano, Can't scroll down through content on a Samsung galaxy note 9
12 November 2021,Sarthak Malviya," Worst app ,we don't have option to change password 🤬"
12 November 2021,Ibra heem," This app is just terrible. For starters It takes a really long time to find your university (that is if you somehow was able to find it) then it takes even longer time trying to figure out why your email and password are incorrect. Then if you somehow managed to login then fear not because you'll haFull ReviewThis app is just terrible. For starters It takes a really long time to find your university (that is if you somehow was able to find it) then it takes even longer time trying to figure out why your email and password are incorrect. Then if you somehow managed to login then fear not because you'll have to do the same Everytime you close the app. Also there is no notifications, so if you have an exam it won't tell you lol. I don't know why our university is forcing us to use it."
12 November 2021,kaitlin howarth, Previously it worked excellently but now I cannot access it on my phone. It no longer loads after putting my university in.
10 November 2021,PzychoGogeta Gaming, Absolutely garbage couldnt even go into my school account it also showed me pornhub!!!!!
10 November 2021,Angela Sekulovska," For some reason it doesn't allow me to log in from my phone, even after entering the correct email and password."
10 November 2021,Travis Wheeler, App consistent makes me have to log in every day now and always forgets to leave me logged. Fix this
10 November 2021,That one llama who is so obsessed with Fandoms," You're logged out if you back space or hit home to get your verification code on gmail. I really don't reccomend the app. Just stick with your browser. Or even the ""desktop site"" version on a phone"
10 November 2021,Pedro Lawisch, Boa parte das features do aplicativo não funcionam. a versão web é tão ruim quanto. da pra ver q oa desenvolvedores fizeram um trabalho bem meia boca
9 November 2021,Matulino Tegei, WHAT DO YOU MEAN BY EXTERNAL TOOLS!!!!!. I HAVE TRIED TO SEND SOME ASSIGNMENTS BUT OT KEPT ON SAYING EXTERNAL TOOLS. I WANT ANSWERS NOW BEFORE MY PAPER GOES LATE!!!!!!!!! Anybody there to answer me please
9 November 2021,Powerful Gamerz, It is for school
8 November 2021,Daniel Bowder," This app offers to let you write a review on Google play, but only if you tell them that you're going to give them a 5 star rating. This is deceptive behavior which means that the reviews on here are skewed toward positive reviews instead of what people actually think of the app."
8 November 2021,Dianne Natad, Bigla nalang nalolog out yung account ko di ako makapag exam dahil need kopa mag log in ulit kakainis
8 November 2021,Jude Duarte, Too many assignments please let me rest 😪
8 November 2021,Liza Liza," CANVAS is extremely UNintuitive and NOT user-friendly. It's a linear system and quite annoying and time wasting to use. You have to keep going back to one specific page to go to the page you want. Most of the time you can't find what you are looking because it's not where you'd expect it to be. AlsoFull ReviewCANVAS is extremely UNintuitive and NOT user-friendly. It's a linear system and quite annoying and time wasting to use. You have to keep going back to one specific page to go to the page you want. Most of the time you can't find what you are looking because it's not where you'd expect it to be. Also, it gives you no warning when you're about to start a test! If you accidentally press ""next"" there's no way back or out. There should be a permanent link to BRAINFUSE!"
8 November 2021,Ma mingwai, Stick on the log in page and I can't use it.
8 November 2021,Kim Valley," Calendar won't load anymore. I tried deleting the app and reinstalling. Still having the same issue. Also, I emailed the developer, and have had no response."
7 November 2021,Sydney Romero, This app is bad bc everytime I get in it I have to login in and when I want to do something I have to login in on the class I wanna do
6 November 2021,Erwin Buragay, Tan* na ayaw mag login 😡
6 November 2021,Krisspy Boi the meme dealer," Its difficult to find my school/district and when i finally do, i sign into my school account and everything, then the app just backs out and never lets me in, idk what causes this im sure I'm doing everything correctly, it's just this app doesn't work"
6 November 2021,Luis Acosta, Video player does not work. Can't move on the timeline and can't change playback speed.
6 November 2021,lalisa manobangs, A bad app it always show there's something wrong please try again later.
5 November 2021,John Gonato," The assignment doesn't show the instructions, it doesn't open. Its a problem in the app that is needed to be fix."
5 November 2021,Alex Ohannes," Signs me out for no reason after a few days. If this is ""expected behavior"", then add obvious solutions like a pin or fingerprint support and remove the auto logout. There is no excuse for this app logging you out if the desktop version doesn't."
4 November 2021,Bean Mastur," I try to open the assignment, but it just closes the app"
4 November 2021,Eris," If I could give a zero star, I WOULD. A simple passing of an output that's only 1mb—not even passing 1mb of storage—requires a really good connection? If not, you would have to pass it repeatedly? Pray for me the next time my professor ask for a video output. Fix it."
4 November 2021,christine callahan, Awful I can't even log in.
3 November 2021,Cowm Master, This app is amazing 👏 😍 😭 🙌 🤣 😂 👏 😍 😭 🙌 🤣
3 November 2021,Josie Turner," Calendar function doesn't work on mobile. Hasn't worked for roughly a year. Wish they would fix this. Everything else is fine, I just use the calendar a lot and it's annoying that it never works for me. I see that looking through the reviews it isn't only me who is affected either."
3 November 2021,Hya Shane Tadlas Tejume, Daghan ug activities😭
3 November 2021,Santiago Figueroa, Pooo
3 November 2021,daniel dewald, Cant even sign in :(
2 November 2021,Logan Ruiz, Not fast enough to open
2 November 2021,Kennedy Glassburn, i. dont. like. it.
1 November 2021,Kody Davis, School forced me to download it. Most of my classmates have flat out stated online learning doesn't work and my school system refuses to listen even when a majority of my graduating class is failing. Congratulations you've screwed the whole educational system
1 November 2021,Birdie Jones, Definitely logged me out and won't recognize my password to let me back in. Really not helpful
1 November 2021,AZTCLegacy," App has stopped functioning, it used to be great easily 5 stars, however, sadly, it has stopped working. You guys need to fix this ASAP please🙏"
1 November 2021,Voli," I feel like there could be a better way to show completed assignments. Like 1 tab that shows all the assignments done and another that shows all the ones that need to be finished. There is also the issue where if you are about to complete an assignment and reaching slightly past the dead line it'll Full ReviewI feel like there could be a better way to show completed assignments. Like 1 tab that shows all the assignments done and another that shows all the ones that need to be finished. There is also the issue where if you are about to complete an assignment and reaching slightly past the dead line it'll completely erase all the work done. Even if your teacher reopens it, im left with having to rewrite an entrie essay."
1 November 2021,warlinie franco, Sira
30 October 2021,FriedFishLegs, Vry vaf
30 October 2021,dhownme gg, School=cringe
30 October 2021,Matthew Reames," Constantly crashes. Edit Sept 30th, 2021: still crashes upon opening. Edit Oct 29th: still crashes upon opening, they didn't accept my complaint, and now it doubles up notifications."
