date,name,review
19 November 2021,Angelo Ramirez, add a dark mode feature please 🙏
18 November 2021,Austin B. Crawford," Excellent, most functions work well except for when trying to display websites or documents in the app."
16 November 2021,Ildiko Barrett," Hard at first to get your head around, but once you get it, you've got it."
16 November 2021,Seth Budrik, Great App. Haven't had any real issues with it.
14 November 2021,Tabby Kitten," The interface is confusing and it's hard to navigate. But otherwise a good app, don't get me wrong. My small idiot brain loves the animation that plays when an assignment is turned in. It is easy to use, but still hard for my very limited braincells to figure out. Bonus points for confetti that I alFull ReviewThe interface is confusing and it's hard to navigate. But otherwise a good app, don't get me wrong. My small idiot brain loves the animation that plays when an assignment is turned in. It is easy to use, but still hard for my very limited braincells to figure out. Bonus points for confetti that I already mentioned."
12 November 2021,Anthony Cottle, It works! It needs a group function though
10 November 2021,Fuzzy Bunny," Good but there's a bug where even if you filter for q1 or q1, it still shows everything."
9 November 2021,Addison Cooper, Canvas App is great for submitting photos of work!
9 November 2021,William Hester IV, Works great all except for the calendar never loads for me
7 November 2021,iyalekhue Endurance, Awesome app and easy to use. Makes assignment easily and quickly accessible on a mobile device. It is easier than using a browser. Discussion Boards just have to be improved.
7 November 2021,Stephen Mills," Better than Bboard, therrs a big diff b/n the. Mobile and online versions"
5 November 2021,Kaylah Ogden," Great for doing school work on the go, but I wish it was available on the fire tablet. A phone isn't quiet but enough."
5 November 2021,Jennifer Guyton, Good
2 November 2021,Janine Gonzaga," After I take the quiz I have to exit the whole app because the back option doesn't work. Plus, my professors have uploaded so many tasks to do! OMG"
1 November 2021,Ray St Valen, Great!!For an old student like me
27 October 2021,Gavin Skeen, convenient i guess
26 October 2021,Michael Fujii, Works ok. See class material. Submit assignments. Email professor. External links usually work.
26 October 2021,Tommy Stephen, Love being able to keep track of what our student is doing.
26 October 2021,Isaac Cromwell, Good That's about it
25 October 2021,TeslaInvestah," A capable app. Can do 95% of what the desktop site can, but rarely a page can't load. The loading animation will just spin forever if you don't realize that your internet is turned off. Aaah. Also, I wish that dismissing canvas notifications from the notification bar disabled those notifications froFull ReviewA capable app. Can do 95% of what the desktop site can, but rarely a page can't load. The loading animation will just spin forever if you don't realize that your internet is turned off. Aaah. Also, I wish that dismissing canvas notifications from the notification bar disabled those notifications from being regenerated whenever the phone restarts. It always spams me with the same old 70 spastic almost-simultaneous vibrations when I turn on my phone. Perhaps I am just using it wrong."
24 October 2021,Linda Pleskačová," If I hadn't have to log in almost every time I open the app, it would be for 5 stars."
23 October 2021,gwen l fitzgerald-barlow, Wasn't able to do the survey due to app not responding
22 October 2021,Eron KM, It's good and easy to use just that it's hard to turn off notifications. So your email gets a lot of notifications. Other than that it's a great app.
21 October 2021,Mariam Bawatnih," Excellent, but calendar is not loading recently!"
20 October 2021,Michael Garmon, This app is very helpful as a student. It is great to submit assignments on the same device I scan. It would be great if it had a built in scanner. I would help me reduce the amount of files I have in my drive.
19 October 2021,Bryan Taylor," Missing some features compared to it's browser counterpart. The two work decently together, though. I mainly use this for checking grades."
18 October 2021,William Cox, Works great in conjunction with school/class
17 October 2021,Lisa Thomas-Walker, Great 👍
15 October 2021,Kristopher Malan, The only thing I would add is put a feature so you can arrange the flash cards in an order of your choosing
13 October 2021,hmallanigue, Needs improvement. Not user friendly esp not student friendly.
12 October 2021,Angelito Ambos, It's have a very good program and fast loading
12 October 2021,Madalitso Chipembere, Its super and easy to follow
12 October 2021,Dragon Slayer, It's alright. At least it semi works. I'm kinda forced to use it but I could think of worse things I could be forced to use.
12 October 2021,Matthew Velez, Ban school
12 October 2021,Arkar Chan, Gud
11 October 2021,Caroline Van't Land," Sometimes crashes unexpectedly on my tablet, but other than that it works great for school!"
8 October 2021,Noah Newcomb, Good
7 October 2021,Robyn Lape," I have been using this app for about a year now on my phone. I like it because instead of always having to type in my screenname and password every time I want to look at something or do an assignment, when I use the app all I have to do is click on it and it takes me right to my classes and the appFull ReviewI have been using this app for about a year now on my phone. I like it because instead of always having to type in my screenname and password every time I want to look at something or do an assignment, when I use the app all I have to do is click on it and it takes me right to my classes and the app also shows me when certain homework assignments are do and also when quizzes/exams are going to be. The only problem I have had the past few weeks is that when I click on the ""to do"" tab it will say it's empty even though luckily I already know that I still have assignments that are due. So when it says that it's empty, it is extremely misleading. Hopefully it will be fixed. Other than that I think the app is great! I use it everyday."
5 October 2021,mary opeyemi, It was awesome experience using this app
5 October 2021,Ryan, Slightly better user experience needed but a great accompaniment to the system
4 October 2021,Madss Urias, It a good app for my school and easy to use
4 October 2021,Jayden Daniel, Güd
2 October 2021,Mr Mech," Can canvas create or make the wrongs visible, I mean just wrongs not the whole exam or quiz,.. so we can review it?"
2 October 2021,Teddy Ward, Fair easy to use
2 October 2021,Bety Solis, Okay.
1 October 2021,Ida Harris, direct and simple to use
1 October 2021,Pie Shack, the pill
30 September 2021,Tabby Cat," It's great I can do homework on my phone, but it doesn't have everything that the Chromebooks do"
29 September 2021,Christian Mabe," Works okay most of the time. My biggest issue is that when you're on your to-do list, it prevents you from clicking on the top buttons. You have to reload the page to do so. It's minor, but really frustrates you after the four hundredth time."
29 September 2021,Iva Mendhy, Useful
28 September 2021,Paula Taylor," Can't open class videos, but everything else is good"
28 September 2021,M a O, You're trying to hard. Having the buttons on the bottom screen is terrible and is in the way. Better if relocated to the top of the screen.
27 September 2021,Jan Good," I like this for my schoolwork, its easy to use. I wish it had a dark mode though."
27 September 2021,Stacey Smith, App is easy to use. Not all teachers post information the same way or grades consistently.
26 September 2021,Brennon Wax," Overall pretty good just needs some small improvements. For example, when writing discussions you can write and can no longer refer to previous posts. Another problem is that the due dates for assignments are off by 1 day."
25 September 2021,Vio let, How do i use big blue button? It won't work on my phone
